configuration,price_ngn,predicted_next_price,random_walk_price
"original (untuned, 300 trees)",1625,1441.0748001785596,1625.0
"original (untuned, 300 trees)",1630,1441.0748001785596,1630.0
"original (untuned, 300 trees)",1635,1441.0748001785596,1635.0
"original (untuned, 300 trees)",1640,1441.0748001785596,1640.0
"original (untuned, 300 trees)",1645,1441.0748001785596,1645.0
"original (untuned, 300 trees)",1650,1441.0748001785596,1650.0
"original (untuned, 300 trees)",1655,1441.0748001785596,1655.0
"original (untuned, 300 trees)",1660,1441.0748001785596,1660.0
"original (untuned, 300 trees)",1665,1441.0748001785596,1665.0
"original (untuned, 300 trees)",1670,1441.0748001785596,1670.0
"original (untuned, 300 trees)",1675,1441.0748001785596,1675.0
"original (untuned, 300 trees)",1680,1441.0748001785596,1680.0
"original (untuned, 300 trees)",1685,1441.0748001785596,1685.0
"original (untuned, 300 trees)",1690,1441.0748001785596,1690.0
"original (untuned, 300 trees)",1695,1441.0748001785596,1695.0
"original (untuned, 300 trees)",1700,1441.0748001785596,1700.0
"original (untuned, 300 trees)",1705,1441.0748001785596,1705.0
"original (untuned, 300 trees)",1710,1441.0748001785596,1710.0
"original (untuned, 300 trees)",1715,1441.0748001785596,1715.0
"original (untuned, 300 trees)",1720,1441.0748001785596,1720.0
"original (untuned, 300 trees)",1725,1441.0748001785596,1725.0
"original (untuned, 300 trees)",1730,1441.0748001785596,1730.0
"original (untuned, 300 trees)",1735,1441.0748001785596,1735.0
"original (untuned, 300 trees)",1740,1441.0748001785596,1740.0
"original (untuned, 300 trees)",1745,1441.0748001785596,1745.0
"original (untuned, 300 trees)",1750,1441.0748001785596,1750.0
"original (untuned, 300 trees)",1755,1441.0748001785596,1755.0
"original (untuned, 300 trees)",1760,1441.0748001785596,1760.0
"original (untuned, 300 trees)",1765,1441.0748001785596,1765.0
"original (untuned, 300 trees)",1770,1441.0748001785596,1770.0
"original (untuned, 300 trees)",1775,1441.0748001785596,1775.0
"original (untuned, 300 trees)",1780,1441.0748001785596,1780.0
"original (untuned, 300 trees)",1785,1441.0748001785596,1785.0
"original (untuned, 300 trees)",1790,1441.0748001785596,1790.0
"original (untuned, 300 trees)",1795,1441.0748001785596,1795.0
"original (untuned, 300 trees)",1800,1441.0748001785596,1800.0
capacity-controlled (CV-selected on V0),550,765.4083827520355,550.0
capacity-controlled (CV-selected on V0),555,765.4083827520355,555.0
capacity-controlled (CV-selected on V0),560,765.4083827520355,560.0
capacity-controlled (CV-selected on V0),565,765.4083827520355,565.0
capacity-controlled (CV-selected on V0),570,765.4083827520355,570.0
capacity-controlled (CV-selected on V0),575,765.4083827520355,575.0
capacity-controlled (CV-selected on V0),580,765.4083827520355,580.0
capacity-controlled (CV-selected on V0),585,765.4083827520355,585.0
capacity-controlled (CV-selected on V0),590,765.4083827520355,590.0
capacity-controlled (CV-selected on V0),595,765.4083827520355,595.0
capacity-controlled (CV-selected on V0),600,765.4083827520355,600.0
capacity-controlled (CV-selected on V0),605,765.4083827520355,605.0
