task,configuration,rung,seed,n,mean_loss_diff,dm_statistic,p_value,rung_beats_ref,significant_at_0.05
nigeria,"original (untuned, 300 trees)",V4a,20,185,82.2425,6.3657,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,1,185,83.154,6.6245,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,2,185,82.5439,6.3607,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,3,185,83.9217,6.7916,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,4,185,82.7724,6.6721,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,5,185,81.6008,6.6268,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,6,185,81.7682,6.629,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,7,185,82.972,6.3239,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,8,185,86.1279,6.7732,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,9,185,82.5105,6.7412,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,10,185,85.754,6.9681,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,11,185,82.996,6.6745,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,12,185,87.3477,7.1177,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,13,185,84.1532,6.5924,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,14,185,82.4817,6.5106,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,15,185,86.1169,6.8558,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,16,185,82.1575,6.6015,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,17,185,82.4887,6.6514,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,18,185,78.2,6.2935,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,19,185,86.6512,6.9881,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4b,20,185,83.5009,6.557,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,1,185,76.546,9.3364,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,2,185,78.5188,9.4059,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,3,185,81.3296,9.2276,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,4,185,77.6529,9.3782,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,5,185,76.808,9.3911,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,6,185,77.5496,9.3135,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,7,185,76.2303,9.4163,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,8,185,80.1316,9.1909,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,9,185,78.0812,9.287,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,10,185,78.3194,9.4366,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,11,185,75.5395,9.4904,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,12,185,76.2779,9.4214,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,13,185,80.2983,9.1723,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,14,185,78.7438,9.3563,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,15,185,75.8216,9.5218,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,16,185,74.9538,9.5066,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,17,185,79.8251,9.4012,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,18,185,78.328,9.4481,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,19,185,74.8185,9.513,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V0,20,185,75.4908,9.3032,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,1,185,76.546,9.3364,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,2,185,78.5188,9.4059,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,3,185,81.3296,9.2276,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,4,185,77.6529,9.3782,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,5,185,76.808,9.3911,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,6,185,77.5496,9.3135,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,7,185,76.2303,9.4163,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,8,185,80.1316,9.1909,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,9,185,78.0812,9.287,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,10,185,78.3194,9.4366,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,11,185,75.5395,9.4904,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,12,185,76.2779,9.4214,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,13,185,80.2983,9.1723,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,14,185,78.7438,9.3563,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,15,185,75.8216,9.5218,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,16,185,74.9538,9.5066,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,17,185,79.8251,9.4012,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,18,185,78.328,9.4481,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,19,185,74.8185,9.513,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V1,20,185,75.4908,9.3032,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,1,185,160.334,11.335,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,2,185,99.4958,9.038,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,3,185,100.9352,9.3054,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,4,185,114.0168,10.4068,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,5,185,99.2877,9.1677,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,6,185,99.5121,9.1964,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,7,185,121.7227,10.6577,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,8,185,92.769,9.0442,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,9,185,160.7012,11.4697,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,10,185,148.8149,11.2435,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,11,185,99.7246,9.2959,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,12,185,192.8232,11.9531,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,13,185,149.6419,11.2911,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,14,185,106.5592,9.4998,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,15,185,124.5821,10.7628,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,16,185,160.6599,11.5242,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,17,185,106.2627,9.0578,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,18,185,181.4448,11.9582,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,19,185,160.6281,11.451,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V2,20,185,102.366,9.5778,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,1,185,113.2168,9.9078,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,2,185,118.7295,9.5628,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,3,185,120.0174,10.2459,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,4,185,142.2794,10.2695,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,5,185,106.0624,9.8603,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,6,185,109.3507,9.9656,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,7,185,116.9721,9.8571,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,8,185,112.8657,9.6328,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,9,185,117.467,9.2739,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,10,185,121.5712,9.4512,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,11,185,105.2049,10.013,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,12,185,101.3171,8.7144,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,13,185,108.2053,9.6595,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,14,185,113.5381,9.9966,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,15,185,130.0675,9.9445,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,16,185,110.102,9.7816,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,17,185,131.848,10.0514,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,18,185,99.4396,9.2917,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,19,185,116.795,10.5418,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3a,20,185,133.5067,9.7786,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,1,185,105.1529,8.1471,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,2,185,101.305,8.2531,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,3,185,104.6199,8.0629,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,4,185,102.0258,7.3322,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,5,185,104.2955,8.7617,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,6,185,105.814,8.6614,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,7,185,106.1765,8.1702,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,8,185,101.9941,8.1394,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,9,185,104.8052,7.7925,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,10,185,98.2057,7.9901,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,11,185,110.0938,8.9985,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,12,185,107.7106,9.3893,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,13,185,96.8928,8.7709,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,14,185,101.1164,8.3403,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,15,185,101.9142,7.399,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,16,185,105.1797,8.5258,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,17,185,104.5953,7.7047,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,18,185,112.6732,9.3804,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,19,185,101.2754,7.6397,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V3b,20,185,104.5779,7.9963,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,1,185,110.0866,8.8913,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,2,185,104.585,8.3272,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,3,185,103.3967,8.7018,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,4,185,105.2115,9.4069,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,5,185,115.7806,9.4744,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,6,185,105.9402,8.8821,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,7,185,105.3149,8.4498,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,8,185,109.9547,9.0951,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,9,185,109.1351,8.5603,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,10,185,107.4347,9.6085,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,11,185,119.8067,10.31,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,12,185,101.9422,8.6299,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,13,185,106.934,8.722,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,14,185,101.759,8.5011,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,15,185,110.7142,9.2424,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,16,185,106.9381,9.1066,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,17,185,106.8844,8.3425,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,18,185,110.6226,8.4813,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,19,185,108.4914,9.4282,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4a,20,185,106.68,8.3367,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,1,185,103.9154,7.9252,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,2,185,100.7488,7.7405,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,3,185,109.3084,8.8401,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,4,185,119.2084,10.1699,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,5,185,101.7454,8.1743,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,6,185,116.6072,9.5497,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,7,185,95.8018,7.6236,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,8,185,108.1751,8.6228,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,9,185,109.0832,9.1377,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,10,185,125.0995,10.4695,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,11,185,115.5679,9.2236,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,12,185,109.4867,8.966,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,13,185,98.6323,7.8949,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,14,185,101.7675,8.3863,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,15,185,102.9826,7.8558,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,16,185,107.1209,8.1588,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,17,185,102.1305,8.0419,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,18,185,108.6429,8.417,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,19,185,104.2838,9.0253,0.0,False,True
nigeria,capacity-controlled (CV-selected on V0),V4b,20,185,105.1325,8.3944,0.0,False,True
